gen,nevals,avg,std,min,max,dead,time
0,500,    4.00e+09,    6.31e+10,      205.04,    1.00e+12,2,8.107494831085205
1,374,      329.40,      245.15,      205.04,    2.32e+03,0,5.898685455322266
2,387,      284.81,      190.53,      205.04,    2.32e+03,0,6.463762283325195
3,397,      281.06,      243.65,      205.04,    2.32e+03,0,7.208349704742432
4,378,      249.24,      207.93,      205.04,    2.36e+03,0,7.876708745956421
5,383,      226.24,      160.65,      204.98,    3.32e+03,0,7.799269437789917
6,375,      222.53,      119.05,      198.43,    1.32e+03,0,7.069127321243286
7,378,      613.58,     8933.83,      198.43,    2.00e+05,0,7.83469820022583
8,395,     2016.57,    40200.29,      198.43,    9.00e+05,0,8.097949504852295
9,375,     3822.16,    57145.33,      198.43,    1.00e+06,0,7.047720670700073
10,381,     3807.70,    57146.12,      198.43,    1.00e+06,0,6.6267688274383545
11,372,      204.27,       49.17,      198.43,    1.26e+03,0,8.680493593215942
12,421,     2211.09,    44667.39,      189.06,    1.00e+06,0,7.04390287399292
13,386,     2201.66,    44667.62,      189.06,    1.00e+06,0,7.874155044555664
14,371,      204.22,       95.74,      183.78,    2.32e+03,0,6.11063551902771
15,407,      199.38,       13.32,      189.06,    3.20e+02,0,7.770963430404663
16,386,      198.39,       14.03,      189.06,    3.28e+02,0,6.144924640655518
17,362,      196.32,       14.57,      182.31,    3.25e+02,0,7.0644261837005615
18,372,      194.94,       21.38,      181.14,    3.69e+02,0,6.1455607414245605
19,371,     2191.48,    44668.07,      181.02,    1.00e+06,0,6.871434926986694
20,361,      189.49,       10.15,      181.01,    3.20e+02,0,5.588929653167725
21,390,      188.97,       14.25,      181.01,    3.30e+02,0,6.555792331695557
22,369,      186.33,       12.19,      179.66,    3.16e+02,0,7.9614105224609375
23,398,     3783.61,    57147.51,      179.66,    1.00e+06,0,7.620235443115234
