gen,nevals,avg,std,min,max,dead,time
0,500,      303.86,       28.57,      215.04,    3.86e+02,0,6.798395395278931
1,395,      320.49,      199.22,      215.04,    1.34e+03,0,5.0397562980651855
2,379,      296.27,      188.17,      215.04,    1.31e+03,0,4.763193368911743
3,395,      274.98,      168.24,      213.21,    1.32e+03,0,4.960831165313721
4,380,      298.72,      241.12,      202.88,    1.31e+03,0,4.545398235321045
5,400,      328.89,      305.02,      173.68,    1.34e+03,0,4.538800477981567
6,373,      281.54,      238.15,      173.68,    1.31e+03,0,4.297630548477173
7,395,      254.17,      187.33,      173.68,    1.31e+03,0,5.138392210006714
8,407,      235.68,      149.43,      173.68,    1.35e+03,0,6.514165163040161
9,394,      244.67,      184.81,      173.68,    1.34e+03,0,5.069404363632202
10,361,      232.50,      177.15,      173.68,    1.34e+03,0,4.819591522216797
11,365,    2.00e+09,    4.47e+10,      165.19,    1.00e+12,1,5.538407325744629
12,379,      179.58,       19.52,      165.19,    3.23e+02,0,5.890934705734253
13,352,      176.14,       16.94,      165.19,    3.14e+02,0,5.509697675704956
