iteration_time,path_cost,path,cost_function
81.75082900000052,576.2187910079956,"7201, 7402, 7603, 7604, 7805, 8006, 8207, 8008, 8009, 8010, 8211, 8012, 7812, 7613, 7414, 7215, 7216, 7415, 7614, 7813, 8013, 8213, 8414, 8615, 8816, 9016, 9216, 9417, 9616, 9815, 10015, 10215, 10414, 10615, 10814, 11015, 11214, 11413, 11614, 11814, 12013, 12212, 12412, 12612, 12811, 13012, 13213, 13414, 13615, 13816, 14016, 14215, 14214, 14413, 14614, 14815, 15016, 15217, 15417, 15616, 15815, 16015, 16215, 16416, 16616, 16815, 17015, 17214, 17414, 17613, 17612, 17811",0
146.1438446000002,1485.348702430725,"11214, 11215, 11216, 11417, 11618, 11619, 11420, 11621, 11822, 11623, 11424, 11425, 11626, 11827, 11828, 11629, 11630, 11831, 12032, 12232, 12433, 12634, 12835, 13036, 13237, 13038, 12839, 12638, 12438, 12237, 12038, 11838, 11637, 11437, 11236, 11036, 10837, 11038, 11039, 11040, 11041, 11242, 11243, 11044, 10844, 10645, 10646, 10447, 10647, 10848, 11049, 11249, 11450, 11649, 11849, 12049, 12249, 12450, 12651, 12852, 13053, 13254, 13455, 13655, 13856, 14055, 14255, 14456, 14655, 14855, 15056, 15257, 15457, 15658, 15858, 16058, 16259, 16459, 16660, 16861, 17061, 16862, 17061, 17262, 17463, 17663, 17864, 18063, 18263, 18464, 18665, 18866, 19067, 19267, 19466, 19665, 19865, 20065, 20266, 20466, 20667, 20468, 20669, 20670, 20871, 20672, 20472, 20271, 20071, 19872, 19673, 19674, 19475, 19275, 19076, 19277, 19278, 19079, 19080, 19281, 19482, 19483, 19684, 19883, 20083, 20284, 20285, 20286, 20487, 20687, 20887, 21088, 21287, 21486, 21687, 21888, 22088, 22289, 22290, 22491, 22690, 22889, 22688, 22487, 22686, 22886, 23086, 23286, 23485, 23686, 23687, 23888, 24089, 24289, 24490, 24690, 24891, 25092, 25292, 25491, 25692, 25893, 25694, 25895, 26096, 26297, 26498, 26699, 26500, 26501, 26702, 26903, 27103, 27302, 27502, 27703, 27504, 27505, 27706, 27907, 28108, 28309, 28510, 28710",1
74.19340370000009,432.3523166179657,"606, 807, 1008, 1209, 1410, 1611, 1812, 2013, 2214, 2415, 2615, 2816, 3017, 3218, 3219, 3420, 3621, 3822, 4022, 4222, 4423, 4623, 4824, 5023, 5222, 5423, 5622, 5823, 6023, 6222, 6421, 6622, 6823, 7022, 7222, 7422, 7622, 7821, 8022, 8222, 8423, 8623, 8822, 9021, 9220, 9420, 9620, 9820, 10019, 10218, 10417, 10616, 10815, 11014, 11214",2
95.43123359999936,965.7935209274292,"23774, 23574, 23375, 23176, 23177, 22978, 22779, 22580, 22380, 22181, 21982, 21783, 21584, 21383, 21182, 21181, 20980, 20979, 20778, 20577, 20376, 20175, 19974, 19775, 19776, 19577, 19376, 19175, 19174, 18973, 18773, 18573, 18372, 18173, 17972, 17971, 17970, 17769, 17768, 17567, 17368, 17169, 16968, 16769, 16570, 16369, 16170, 15969, 15769, 15568, 15367, 15167, 14966, 14767, 14768, 14769, 14570, 14369, 14170, 13971, 13772, 13571, 13371, 13172, 12972, 12772, 12571, 12570, 12769, 12968, 12767, 12766, 12565, 12364, 12163, 12162, 12161, 11960, 11759, 11559, 11358, 11557, 11556, 11355, 11554, 11353, 11552, 11551, 11350, 11149, 11348, 11147, 11146, 11345, 11344, 11343, 11142, 11341, 11340, 11139, 10939, 10738, 10537, 10336, 10137, 9936, 9736, 9536, 9336, 9135, 8935, 8734, 8933, 9132, 8931, 8731, 8531, 8330, 8129, 7928",3
131.1724509000005,1509.8382358551025,"11214, 11415, 11616, 11817, 12018, 12218, 12417, 12618, 12818, 13018, 13219, 13220, 13221, 13422, 13621, 13821, 14020, 14221, 14422, 14623, 14824, 15025, 14826, 15027, 14828, 15029, 15230, 15231, 15432, 15633, 15833, 16034, 16234, 16435, 16635, 16836, 16837, 17038, 17239, 17438, 17637, 17838, 18039, 18240, 18441, 18640, 18841, 18842, 19043, 18844, 18645, 18444, 18243, 18042, 17843, 17643, 17444, 17244, 17045, 16846, 17047, 17048, 17249, 17449, 17650, 17651, 17452, 17252, 17052, 16853, 16654, 16455, 16456, 16457, 16658, 16857, 17058, 17259, 17260, 17061, 17062, 17263, 17463, 17664, 17865, 17666, 17466, 17267, 17468, 17669, 17870, 17871, 18072, 18273, 18472, 18673, 18873, 19074, 19275, 19076, 19077, 19278, 19479, 19680, 19481, 19282, 19083, 18884, 19085, 19286, 19485, 19686, 19886, 20086, 20285, 20484, 20683, 20882, 21082, 21282, 21483, 21684, 21885, 22086, 22287, 22486, 22685, 22886, 23085, 23284, 23485, 23684, 23885, 24086, 24286, 24485, 24685, 24884, 25085, 25286, 25487, 25688, 25889, 26090, 26091, 26292, 26293, 26494, 26694, 26893, 27094, 27293, 27492, 27693, 27894, 27695, 27696, 27497, 27498, 27699, 27900, 28101, 28302, 28303, 28504, 28705, 28906, 28707, 28908, 29108, 29307, 29506, 29707, 29906, 30107, 30108, 29909, 29910, 30111, 30311, 30512, 30513, 30514, 30715, 30916, 31117, 31118",4
148.98125840000012,1785.4802474975586,"11214, 11415, 11416, 11417, 11218, 11419, 11620, 11421, 11222, 11423, 11224, 11025, 11026, 11227, 11228, 11229, 11030, 11031, 11032, 11033, 11034, 11235, 11236, 11237, 11038, 10839, 10640, 10439, 10238, 10038, 9839, 9840, 10041, 9842, 9843, 10044, 9845, 9846, 10047, 9848, 9649, 9850, 9651, 9452, 9453, 9654, 9855, 9656, 9457, 9258, 9059, 9260, 9461, 9662, 9463, 9464, 9265, 9466, 9467, 9268, 9269, 9470, 9670, 9870, 10070, 10270, 10469, 10670, 10871, 10872, 11073, 10874, 10875, 10676, 10877, 10678, 10679, 10880, 10881, 11081, 11280, 11479, 11678, 11879, 12078, 12277, 12478, 12479, 12480, 12681, 12882, 13083, 12884, 12685, 12486, 12687, 12888, 12889, 13090, 13289, 13489, 13690, 13891, 13692, 13493, 13494, 13295, 13296, 13497, 13498, 13699, 13899, 14098, 14298, 14499, 14700, 14901, 14902, 15103, 15304, 15305, 15506, 15707, 15708, 15709, 15710, 15511, 15512, 15513, 15514, 15315, 15516, 15716, 15917, 15918, 16119, 16120, 16121, 15922, 15723, 15924, 16125, 16126, 15927, 16128, 16329, 16529, 16728, 16929, 17130, 17131, 17332, 17133, 17334, 17534, 17735, 17936, 18137, 17938, 18139, 18340, 18540, 18740, 18941, 19142, 19343, 19344, 19345, 19346, 19547, 19748, 19949, 20150, 20351, 20550, 20751, 20952, 20753, 20954, 21155, 21356, 21555, 21754, 21954, 22154, 22355, 22356, 22557, 22558, 22559, 22760, 22960, 23161, 23360, 23559, 23758, 23757, 23756, 23955, 24154, 24355, 24555, 24756, 24757, 24958, 24759, 24760, 24561, 24362, 24163, 23964, 23765, 23566, 23567, 23368, 23569, 23370, 23371, 23572, 23573, 23774",5
126.87919179999972,1745.2242803573608,"10881, 10682, 10883, 11084, 11284, 11485, 11686, 11487, 11488, 11289, 11490, 11691, 11891, 12090, 12291, 12492, 12693, 12694, 12895, 13094, 13294, 13495, 13695, 13896, 13697, 13498, 13699, 13500, 13301, 13502, 13703, 13902, 14102, 14301, 14502, 14701, 14901, 15102, 15302, 15503, 15704, 15905, 16106, 15907, 16108, 16309, 16508, 16709, 16910, 17111, 17312, 17313, 17314, 17315, 17516, 17317, 17518, 17519, 17720, 17521, 17522, 17723, 17924, 17925, 18126, 18327, 18527, 18728, 18929, 18930, 18731, 18532, 18733, 18933, 19132, 19331, 19532, 19732, 19933, 20134, 20334, 20535, 20336, 20537, 20738, 20739, 20940, 21140, 21139, 20938, 20937, 20736, 20735, 20934, 21133, 21333, 21534, 21734, 21935, 22135, 22334, 22534, 22733, 22732, 22531, 22530, 22529, 22728, 22927, 23126, 23326, 23525, 23724, 23923, 23722, 23921, 24121, 24322, 24522, 24721, 24921, 25122, 25322, 25523, 25722, 25922, 26121, 26320, 26521, 26720, 26920, 27120, 27319, 27520, 27719, 27920, 27921, 27722, 27723, 27724, 27925, 28125, 28325, 28525, 28725, 28926, 29126, 29325, 29525, 29724, 29923, 30122, 30321, 30320, 30119, 29920, 29721, 29522, 29523, 29722, 29521, 29320, 29519, 29518, 29517, 29716, 29915, 29714, 29913, 29912, 29711, 29910, 30111, 30311, 30511, 30712, 30913, 30714, 30515, 30316, 30517, 30318, 30519, 30719, 30918, 31117, 30916, 31115, 31315, 31516, 31715, 31915, 32116, 32315, 32516, 32715, 32915, 33116, 33316, 33517, 33718, 33919, 33920, 34121, 34320, 34519, 34318, 34317, 34516, 34717, 34917, 35117, 35316, 35315, 35514, 35714",6
119.41344459999982,1388.069405555725,"11214, 11014, 10815, 10816, 10817, 10818, 10819, 11020, 11221, 11222, 11023, 11224, 11025, 10826, 11027, 11228, 11029, 11230, 11231, 11032, 10833, 10634, 10435, 10436, 10237, 10438, 10439, 10240, 10441, 10642, 10443, 10244, 10045, 9846, 9645, 9445, 9246, 9047, 8846, 8647, 8447, 8247, 8047, 7848, 8049, 7850, 8051, 8052, 8053, 7854, 8055, 8255, 8456, 8657, 8858, 9059, 8860, 8660, 8461, 8462, 8463, 8664, 8665, 8666, 8867, 8668, 8869, 8870, 8671, 8472, 8673, 8874, 8675, 8676, 8677, 8878, 9079, 9279, 9480, 9681, 9682, 9883, 10084, 10284, 10485, 10486, 10487, 10488, 10689, 10490, 10291, 10092, 10293, 10294, 10095, 10296, 10497, 10697, 10898, 10699, 10500, 10301, 10302, 10303, 10104, 9905, 9705, 9505, 9306, 9106, 8907, 8908, 8709, 8510, 8309, 8110, 7910, 7710, 7510, 7311, 7112, 7313, 7514, 7515, 7716, 7916, 8117, 7918, 7718, 7518, 7317, 7118, 6917, 6718, 6519, 6319, 6120, 5921, 6122, 6323, 6324, 6125, 6126, 6327, 6328, 6329, 6330, 6131, 5932, 6133, 6134, 5935, 5736, 5535, 5335, 5135, 4936, 4737, 4738, 4939, 4940, 4741, 4542, 4342, 4543, 4744, 4944, 5145, 5346, 5547, 5748, 5749",7
93.8643431999999,559.9935522079468,"7201, 7002, 7003, 7204, 7205, 7206, 7407, 7208, 7409, 7610, 7811, 7612, 7413, 7414, 7215, 7216, 7415, 7614, 7815, 8016, 8217, 8417, 8616, 8815, 9016, 9215, 9414, 9615, 9816, 10016, 10216, 10417, 10616, 10815, 11014, 11214, 11414, 11613, 11812, 12013, 12212, 12413, 12614, 12815, 13014, 13214, 13414, 13613, 13814, 14015, 14216, 14415, 14616, 14816, 15015, 15216, 15416, 15615, 15814, 16014, 16215, 16414, 16613, 16813, 17014, 17213, 17414, 17613, 17612, 17811",8
148.80876839999928,1542.2100009918213,"28710, 28511, 28312, 28112, 27911, 28110, 28309, 28108, 27908, 27707, 27706, 27905, 28104, 28304, 28503, 28302, 28301, 28100, 27900, 27701, 27500, 27299, 27099, 26898, 26697, 26498, 26499, 26699, 26900, 26701, 26501, 26300, 26101, 25900, 25899, 25698, 25499, 25299, 25100, 24901, 24700, 24500, 24299, 24298, 24097, 24096, 23895, 23694, 23493, 23292, 23491, 23690, 23889, 24088, 23887, 23686, 23685, 23884, 23683, 23482, 23282, 23083, 22884, 22685, 22486, 22487, 22288, 22087, 21888, 21687, 21486, 21685, 21884, 22085, 22286, 22485, 22684, 22883, 22882, 22681, 22482, 22283, 22082, 21881, 22080, 21879, 21678, 21479, 21279, 21080, 20880, 20679, 20478, 20277, 20076, 19877, 19676, 19475, 19274, 19073, 18872, 18673, 18474, 18273, 18072, 18271, 18470, 18669, 18468, 18267, 18066, 17865, 17664, 17463, 17262, 17061, 16862, 16663, 16464, 16265, 16065, 15866, 15667, 15468, 15269, 15069, 14870, 14671, 14470, 14269, 14268, 14467, 14466, 14265, 14264, 14263, 14062, 13861, 13660, 13459, 13259, 13060, 12861, 12660, 12459, 12258, 12058, 11857, 11656, 11455, 11654, 11653, 11452, 11251, 11050, 10849, 10648, 10447, 10446, 10445, 10644, 10843, 11042, 10841, 10640, 10839, 11038, 11037, 11236, 11435, 11634, 11633, 11632, 11831, 11830, 12029, 12228, 12227, 12026, 12025, 11824, 11623, 11422, 11621, 11820, 11619, 11418, 11217, 11416, 11415, 11214",9
